search_version,profile_id,task_id,mean_start_now_points_per_card,start_now_rounds_1_20_mean,start_now_rounds_21_60_mean,start_now_rounds_61_80_mean,start_now_round_min,start_now_round_max,start_now_round_coverage,mean_ordinary_appearances,mean_planning_policy_selections,selection_rate_when_available,mean_planning_policy_contribution,inclusion_probability_without_is,inclusion_probability_during_is
parameter-search-v2,profile_0001,trio_a,7.981715260020574,8.333333333333359,8.333333333333359,6.926861040082221,0.0,8.333333333333368,1.0,46.99,0.0,0.0,0.0,0.617998667998668,0.46128038628038626
parameter-search-v2,profile_0001,trio_b,9.421758190077371,10.0,10.0,7.687032760309481,0.0,10.0,1.0,35.041666666666664,2.111666666666667,0.060261593341260404,10.8,0.46553103758986114,0.33018599048010816
parameter-search-v2,profile_0001,fives,7.089469473616944,8.0,7.999233716475096,4.359410461517587,0.0,8.0,1.0,34.968333333333334,0.0,0.0,0.0,0.46553103758986114,0.33018599048010816
parameter-search-v2,profile_0001,cumulative_a,8.29123645047579,9.249741600538622,9.029253001615084,5.856698198134375,0.0,9.25,1.0,34.99333333333333,0.0,0.0,0.0,0.46553103758986114,0.33018599048010816
parameter-search-v2,profile_0001,cumulative_b,9.382556063498567,9.749810444945275,9.676256267059715,8.427901274929564,5.0,9.75,1.0,35.335,0.0,0.0,0.0,0.46553103758986114,0.33018599048010816
parameter-search-v2,profile_0001,infinite_scroll,8.17633894862104,8.54652444275013,8.196741923291384,7.7653475051512615,5.0,11.173076923076923,1.0,15.51,0.0,0.0,0.0,1.0,1.0
parameter-search-v2,profile_0001,simple_a,9.510953893984452,9.503613833836123,9.492148898560112,9.555903944981461,8.995535714285714,9.870967741935484,1.0,61.583333333333336,11.566666666666666,0.1878213802435724,167.15,0.7962576639047227,0.650605113840408
parameter-search-v2,profile_0001,simple_b,8.519507291426558,8.588932273876303,8.495484223225896,8.49812844537814,8.179611650485437,9.068627450980392,1.0,55.57833333333333,6.321666666666666,0.1137433652202597,92.60833333333333,0.7236195177371649,0.5673705379587733
parameter-search-v2,profile_0002,trio_a,7.84316346069525,8.333333333333314,8.333333333333316,6.372653842781053,0.0,8.333333333333334,1.0,34.89,0.0,0.0,0.0,0.4607142857142857,0.32738095238095244
parameter-search-v2,profile_0002,trio_b,9.420227964172067,10.0,9.998979591836735,7.682952673014796,0.0,10.0,1.0,34.78333333333333,2.6883333333333335,0.07728797316722569,15.8,0.4607142857142857,0.32738095238095244
parameter-search-v2,profile_0002,fives,7.968198333503795,9.0,8.99677707373272,4.879239186549744,0.0,9.0,1.0,34.723333333333336,0.0,0.0,0.0,0.4607142857142857,0.32738095238095244
parameter-search-v2,profile_0002,cumulative_a,9.375708709306032,9.749795245289057,9.6716216207689,8.409796350397269,5.0,9.75,1.0,34.718333333333334,0.0,0.0,0.0,0.4607142857142857,0.32738095238095244
parameter-search-v2,profile_0002,cumulative_b,8.632159022405087,9.25,9.215237875847759,6.848160337924827,0.0,9.25,1.0,55.1,0.0,0.0,0.0,0.719047619047619,0.5634920634920636
parameter-search-v2,profile_0002,infinite_scroll,8.139873565654158,8.435005285027907,8.171968087818783,7.780552801951158,5.0,10.671875,1.0,15.636666666666667,0.0,0.0,0.0,1.0,1.0
parameter-search-v2,profile_0002,simple_a,9.469269792622926,9.4652040176482,9.503783330305772,9.404308492231962,9.048192771084338,9.894366197183098,1.0,55.01,10.56,0.19196509725504454,151.45,0.719047619047619,0.5634920634920636
parameter-search-v2,profile_0002,simple_b,8.510725548497387,8.513914859009995,8.522394321908955,8.484198691161648,8.201970443349754,8.861985472154963,1.0,55.138333333333335,6.751666666666667,0.12244959646948583,98.25,0.719047619047619,0.5634920634920636
parameter-search-v2,profile_0003,trio_a,9.561668160012394,10.0,10.0,8.246672640049574,0.0,10.0,1.0,45.16166666666667,3.39,0.07506366018378419,24.05,0.6216992372952125,0.46124318148311955
parameter-search-v2,profile_0003,trio_b,7.831025078074134,8.33333333333331,8.33333333333331,6.324100312296606,0.0,8.333333333333329,1.0,33.69166666666667,0.0,0.0,0.0,0.4678284821473676,0.3300049709492434
parameter-search-v2,profile_0003,fives,6.981460577606313,9.0,8.44668773987612,2.0324668306730147,0.0,9.0,1.0,18.39666666666667,0.0,0.0,0.0,0.25979682082623257,0.17543543058248942
parameter-search-v2,profile_0003,cumulative_a,9.508087932325692,9.75,9.736887358550307,8.808577012202154,5.0,9.75,1.0,53.67666666666667,0.0,0.0,0.0,0.7276156591946067,0.5677704820119681
parameter-search-v2,profile_0003,cumulative_b,9.359982507309633,9.749681340896473,9.665754280853736,8.358740126634588,5.0,9.75,1.0,33.695,0.0,0.0,0.0,0.46782848214736766,0.3300049709492434
parameter-search-v2,profile_0003,infinite_scroll,6.7050305376080415,7.214758403806769,6.65696741421642,6.291428918192555,2.0,11.03448275862069,1.0,28.448333333333334,0.0,0.0,0.0,1.0,1.0
parameter-search-v2,profile_0003,simple_a,9.499689689839931,9.552396115112177,9.476430563897008,9.49350151645353,9.160756501182034,9.915865384615385,1.0,53.44166666666667,10.285,0.19245283018867926,148.75,0.7276156591946066,0.5677704820119681
parameter-search-v2,profile_0003,simple_b,8.47936019675435,8.508446781831397,8.473063806081466,8.462866393023074,8.031784841075794,8.832923832923832,1.0,53.48833333333334,6.325,0.11825008568846788,92.89166666666667,0.7276156591946066,0.5677704820119681
parameter-search-v2,profile_0004,trio_a,7.846908742832118,8.333333333333313,8.33333333333331,6.3876349713285325,0.0,8.333333333333329,1.0,34.07,0.0,0.0,0.0,0.4607142857142857,0.32738095238095244
parameter-search-v2,profile_0004,trio_b,9.429447609598466,10.0,10.0,7.717790438393858,0.0,10.0,1.0,34.33,2.6466666666666665,0.07709486357898825,16.25,0.4607142857142857,0.32738095238095244
parameter-search-v2,profile_0004,fives,7.9377138069978015,9.0,8.994876994593,4.7611012388052085,0.0,9.0,1.0,34.42166666666667,0.0,0.0,0.0,0.4607142857142857,0.32738095238095244
parameter-search-v2,profile_0004,cumulative_a,8.259178094403314,9.249299893956826,9.006823121304077,5.773766241048281,0.0,9.25,1.0,34.42666666666667,0.0,0.0,0.0,0.4607142857142857,0.32738095238095244
parameter-search-v2,profile_0004,cumulative_b,8.633761683939063,9.25,9.212346807227913,6.860353121300432,0.0,9.25,1.0,54.56666666666667,0.0,0.0,0.0,0.719047619047619,0.5634920634920636
parameter-search-v2,profile_0004,infinite_scroll,8.891889400344974,9.40901166227466,8.872466436697348,8.413613065710537,5.0,12.44,1.0,18.378333333333334,0.0,0.0,0.0,1.0,1.0
parameter-search-v2,profile_0004,simple_a,9.481236495318369,9.469011824566213,9.475734460780538,9.504465235146185,9.1371158392435,9.914841849148418,1.0,55.141666666666666,10.705,0.19413631555085387,153.125,0.719047619047619,0.5634920634920636
parameter-search-v2,profile_0004,simple_b,8.492186143856589,8.517239893868467,8.476611253093711,8.498282175370473,8.129675810473815,8.977011494252874,1.0,54.665,6.648333333333333,0.12161956157199914,96.35,0.719047619047619,0.5634920634920636
parameter-search-v2,profile_0005,trio_a,9.612509201335659,10.0,10.0,8.450036805342634,0.0,10.0,1.0,52.705,4.988333333333333,0.09464630174240268,39.7,0.7124904507257449,0.559222150398621
parameter-search-v2,profile_0005,trio_b,7.952144217830517,8.333333333333352,8.33333333333335,6.808576871322018,0.0,8.33333333333336,1.0,44.175,0.0,0.0,0.0,0.6058556639438992,0.4538703943115707
parameter-search-v2,profile_0005,fives,7.0145739179817195,8.0,7.994304730452939,4.069686211021004,0.0,8.0,1.0,32.535,0.0,0.0,0.0,0.45443592355357065,0.3246049701932055
parameter-search-v2,profile_0005,cumulative_a,8.220714752748679,9.249028395704213,8.978732311018714,5.676365993253072,0.0,9.25,1.0,33.1,0.0,0.0,0.0,0.45443592355357065,0.3246049701932055
